symbol,name_ar,name_en,market,sector,industry,business_class,vision2030_theme,source_quality,source_note,last_reviewed,official_profile_url,source_type,expo2030_exposure,worldcup2034_exposure,primary_event_driver,secondary_event_driver,exposure_strength,confidence,rationale,event_exposure_overall
1201,تكوين,Takween,main,المواد الأساسية,Materials,basic_materials,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1201,official,none,none,none,none,none,low,,none
1202,مبكو,MEPCO,main,المواد الأساسية,Materials,basic_materials,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1202,official,none,none,none,none,none,low,,none
1210,بي سي آي,BCI,main,المواد الأساسية,Chemicals,basic_materials,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1210,official,none,none,none,none,none,low,,none
1211,معادن,Maaden,main,المواد الأساسية,Mining,basic_materials,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1211,official,none,none,none,none,none,low,,none
1212,مجموعة أسترا الصناعية,Astra Industrial Group,M,السلع الرأسمالية,,capital_goods,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1212,official,none,none,none,none,none,low,,none
1213,شركة نسيج العالمية التجارية,Naseej International Trading Co.,M,تجزئة وتوزيع السلع الكمالية,,consumer_retail,quality_of_life_and_retail,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1213,official,none,none,none,none,none,low,,none
1214,شركة الحسن غازي إبراهيم شاكر,Al Hassan Ghazi Ibrahim Shaker Co.,M,تجزئة وتوزيع السلع الكمالية,,consumer_retail,quality_of_life_and_retail,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1214,official,none,none,none,none,none,low,,none
1301,أسلاك,Aslak,main,السلع الرأسمالية,Industrial Products,capital_goods,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1301,official,medium,low,venue_construction,urban_infrastructure,medium,low,منتجات أسلاك معدنية؛ تعرّض محتمل عبر مواد الإنشاء. ربط موضوعي.,medium
1302,بوان,Bawan,main,السلع الرأسمالية,Industrial Products,capital_goods,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1302,official,medium,medium,venue_construction,urban_infrastructure,medium,medium,مواد ومنتجات بناء؛ تعرّض محتمل عبر الإنشاءات. ربط موضوعي.,medium
1303,صناعات كهربائية,Electrical Industries,main,السلع الرأسمالية,Electrical Equipment,capital_goods,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1303,official,none,none,none,none,none,low,,none
1304,شركة اليمامة للصناعات الحديدية,Al Yamamah Steel Industries Co.,M,السلع الرأسمالية,,capital_goods,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1304,official,medium,medium,venue_construction,urban_infrastructure,medium,low,صناعات حديدية؛ تعرّض محتمل عبر مواد الإنشاء الهيكلي. ربط موضوعي.,medium
1320,الشركة السعودية لأنابيب الصلب,Saudi Steel Pipe Co.,M,السلع الرأسمالية,,capital_goods,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1320,official,medium,medium,venue_construction,urban_infrastructure,medium,low,أنابيب صلب؛ تعرّض محتمل عبر مواد الإنشاء. ربط موضوعي.,medium
1321,شركة أنابيب الشرق المتكاملة للصناعة,East Pipes Integrated Company for Industry,M,السلع الرأسمالية,,capital_goods,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1321,official,medium,medium,venue_construction,urban_infrastructure,medium,low,أنابيب صناعية؛ تعرّض محتمل عبر مواد البنية التحتية. ربط موضوعي.,medium
1322,أماك,AMAK,main,المواد الأساسية,Mining,basic_materials,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1322,official,none,none,none,none,none,low,,none
1323,الشركة المتحدة لصناعات الكرتون,United Carton Industries Co.,M,السلع الرأسمالية,,capital_goods,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1323,official,none,none,none,none,none,low,,none
1324,شركة صالح عبدالعزيز الراشد وأولاده,Saleh Abdulaziz Al Rashed and Sons Co.,M,السلع الرأسمالية,,capital_goods,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1324,official,none,none,none,none,none,low,,none
1810,مجموعة سيرا القابضة,Seera Group Holding,M,الخدمات الاستهلاكية,,consumer_services,quality_of_life_and_retail,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1810,official,high,high,hospitality_tourism,transport_mobility,high,medium,سفر وضيافة؛ تعرّض محتمل عبر السياحة والتنقل المرتبط بالفعاليات. ربط موضوعي.,high
1820,شركة مجموعة بان القابضة,BAAN Holding Group Co.,M,الخدمات الاستهلاكية,,consumer_services,quality_of_life_and_retail,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1820,official,none,none,none,none,none,low,,none
1830,لجام للرياضة,Leejam Sports,main,الخدمات الاستهلاكية,Fitness & Wellness,consumer_services,quality_of_life_and_retail,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1830,official,medium,high,event_services,hospitality_tourism,high,medium,تجزئة وخدمات رياضية؛ ربط موضوعي مع فعالية رياضية كبرى. ليس عقدًا.,high
1831,مهارة,Maharah,main,الخدمات التجارية والمهنية,Human Resources,commercial_services,labor_market_and_services,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1831,official,medium,medium,facilities_management,event_services,medium,medium,توظيف وقوى عاملة؛ تعرّض محتمل عبر الطلب على خدمات التشغيل والفعاليات. ربط موضوعي.,medium
1832,صدر,Sadr Logistics,main,النقل,Logistics,transportation_logistics,logistics_and_transport,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1832,official,none,none,none,none,none,low,,none
1833,الموارد,Al Mawarid,main,الخدمات التجارية والمهنية,Human Resources,commercial_services,labor_market_and_services,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1833,official,medium,medium,facilities_management,event_services,medium,low,قوى عاملة وخدمات؛ تعرّض محتمل عبر تشغيل المرافق والفعاليات. ربط موضوعي.,medium
1834,الشركة السعودية لحلول القوى البشرية,Saudi Manpower Solutions Co.,M,الخدمات التجارية والمهنية,,commercial_services,labor_market_and_services,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1834,official,none,none,none,none,none,low,,none
1835,شركة تمكين للموارد البشرية,Tamkeen Human Resource Co.,M,الخدمات التجارية والمهنية,,commercial_services,labor_market_and_services,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=1835,official,medium,medium,facilities_management,event_services,medium,low,موارد بشرية؛ تعرّض محتمل عبر الطلب على العمالة المؤقتة للفعاليات. ربط موضوعي.,medium
2001,شركة كيمائيات الميثانول,Methanol Chemicals Co.,M,المواد الأساسية,,basic_materials,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=2001,official,none,none,none,none,none,low,,none
2002,الشركة الوطنية للبتروكيماويات,National Petrochemical Co.,M,المواد الأساسية,,basic_materials,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=2002,official,none,none,none,none,none,low,,none
2010,سابك,SABIC,main,المواد الأساسية,Petrochemicals,basic_materials,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=2010,official,none,none,none,none,none,low,,none
2020,سابك للمغذيات الزراعية,SABIC Agri-Nutrients,main,المواد الأساسية,Fertilizers,basic_materials,food_security_and_industry,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=2020,official,none,none,none,none,none,low,,none
2030,شركة المصافي العربية السعودية,Saudi Arabia Refineries Co.,M,الطاقة,,energy,energy,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=2030,official,none,none,none,none,none,low,,none
2040,الخزف السعودي,Saudi Ceramics,main,السلع الرأسمالية,Building Products,capital_goods,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=2040,official,medium,low,venue_construction,facilities_management,medium,low,سيراميك ومواد تشطيب؛ تعرّض محتمل عبر الإنشاءات. ربط موضوعي.,medium
2050,مجموعة صافولا,Savola Group,M,إنتاج الأغذية,,food_production,food_security_and_industry,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=2050,official,none,none,none,none,none,low,,none
2060,شركة التصنيع الوطنية,National Industrialization Co.,M,المواد الأساسية,,basic_materials,industrial_development,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=2060,official,none,none,none,none,none,low,,none
2070,الشركة السعودية للصناعات الدوائية والمستلزمات الطبية,Saudi Pharmaceutical Industries and Medical Appliances Corp.,M,الرعاية الصحية,,healthcare,healthcare_quality,official,Official Saudi Exchange company profile link added.,2026-06-28,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziTR3NDIw8LAz83d2MXA0C3SydAl1c3Q0NvE30I4EKzBEKDMKcTQzMDPxN3H19LAzdTU31w8syU8v1wwkpK8hOMgUA-oskdg%21%21/?companySymbol=2070,official,none,none,none,none,none,low,,none
